iter	Passed	Remaining
695	20438	8927
696	20470	8898
697	20502	8870
698	20533	8841
699	20562	8812
700	20594	8784
701	20624	8755
702	20647	8723
703	20671	8691
704	20702	8662
705	20750	8641
706	20781	8612
707	20811	8583
708	20841	8554
709	20872	8525
710	20902	8496
711	20928	8465
712	20960	8437
713	20994	8409
714	21015	8376
715	21040	8345
716	21070	8316
717	21101	8287
718	21132	8259
719	21154	8226
720	21191	8200
721	21227	8173
722	21248	8140
723	21287	8115
724	21319	8086
725	21365	8063
726	21386	8031
727	21414	8001
728	21444	7971
729	21476	7943
730	21503	7913
731	21538	7885
732	21569	7856
733	21600	7827
734	21632	7799
735	21663	7770
736	21690	7740
737	21723	7712
738	21750	7681
739	21786	7654
740	21816	7625
741	21842	7594
742	21865	7563
743	21889	7531
744	21922	7503
745	21954	7475
746	21985	7446
747	22013	7416
748	22049	7389
749	22077	7359
750	22111	7331
751	22143	7302
752	22169	7271
753	22190	7239
754	22212	7208
755	22234	7176
756	22262	7146
757	22299	7119
758	22328	7089
759	22358	7060
760	22390	7031
761	22421	7003
762	22448	6972
763	22483	6945
764	22510	6914
765	22541	6886
766	22576	6858
767	22608	6829
768	22637	6800
769	22662	6769
770	22700	6742
771	22722	6710
772	22759	6683
773	22790	6654
774	22824	6626
775	22856	6597
776	22883	6567
777	22917	6539
778	22939	6507
779	22961	6476
780	22996	6448
781	23026	6419
782	23058	6390
783	23085	6360
784	23120	6332
785	23142	6300
786	23167	6270
787	23208	6243
788	23231	6212
789	23252	6181
790	23288	6153
791	23319	6124
792	23367	6099
793	23402	6071
794	23433	6042
795	23466	6013
796	23495	5984
797	23525	5955
798	23563	5927
799	23599	5899
800	23632	5871
801	23654	5839
802	23681	5809
803	23711	5780
804	23743	5751
805	23773	5722
806	23801	5692
807	23836	5664
808	23868	5635
809	23893	5604
810	23927	5576
811	23955	5546
812	23985	5517
813	24021	5488
814	24053	5459
815	24080	5429
816	24110	5400
817	24132	5369
818	24154	5338
819	24178	5307
820	24200	5276
821	24224	5245
822	24255	5216
823	24286	5187
824	24317	5158
825	24355	5130
826	24396	5103
827	24427	5074
828	24458	5045
829	24491	5016
830	24521	4986
831	24553	4957
832	24583	4928
833	24628	4902
834	24655	4872
835	24691	4843
836	24721	4814
837	24744	4783
838	24768	4752
839	24793	4722
840	24817	4691
841	24849	4663
842	24880	4633
843	24911	4604
844	24941	4575
845	24968	4545
846	25004	4516
847	25031	4486
848	25065	4458
849	25096	4428
850	25127	4399
851	25158	4370
852	25190	4341
853	25236	4314
854	25267	4285
855	25299	4255
856	25330	4226
857	25352	4195
858	25386	4167
859	25419	4138
860	25439	4107
861	25470	4077
862	25500	4048
863	25531	4018
864	25563	3989
865	25593	3960
866	25622	3930
867	25655	3901
868	25686	3872
869	25716	3842
870	25738	3812
871	25779	3784
872	25809	3754
873	25840	3725
874	25887	3698
875	25914	3668
876	25937	3637
877	25964	3607
878	25995	3578
879	26017	3547
880	26039	3517
881	26073	3488
882	26102	3458
883	26132	3429
884	26165	3399
885	26197	3370
886	26227	3341
887	26257	3311
888	26289	3282
889	26320	3253
890	26351	3223
891	26394	3195
892	26418	3165
893	26442	3135
894	26474	3105
895	26506	3076
896	26536	3047
897	26567	3017
898	26601	2988
899	26629	2958
900	26660	2929
901	26691	2899
902	26721	2870
903	26753	2841
904	26785	2811
905	26815	2782
906	26846	2752
907	26870	2722
908	26894	2692
909	26923	2662
910	26945	2632
911	26971	2602
912	27001	2572
913	27032	2543
914	27060	2513
915	27094	2484
916	27125	2455
917	27156	2425
918	27178	2395
919	27204	2365
920	27236	2336
921	27266	2306
922	27288	2276
923	27313	2246
924	27343	2217
925	27374	2187
926	27419	2159
927	27451	2129
928	27474	2099
929	27498	2069
930	27531	2040
931	27563	2011
932	27593	1981
933	27623	1951
934	27653	1922
935	27683	1892
936	27715	1863
937	27739	1833
938	27762	1803
939	27793	1774
940	27823	1744
941	27855	1715
942	27885	1685
943	27915	1656
944	27949	1626
945	27979	1597
946	28008	1567
947	28040	1538
948	28070	1508
949	28101	1479
950	28132	1449
951	28165	1420
952	28195	1390
953	28217	1360
954	28242	1330
955	28271	1301
956	28293	1271
957	28333	1242
958	28364	1212
959	28387	1182
960	28427	1153
961	28471	1124
962	28495	1094
963	28518	1065
964	28548	1035
965	28580	1005
966	28602	976
967	28627	946
968	28657	916
969	28691	887
970	28721	857
971	28751	828
972	28783	798
973	28811	769
974	28845	739
975	28876	710
976	28906	680
977	28936	650
978	28968	621
979	28997	591
980	29029	562
981	29052	532
982	29075	502
983	29105	473
984	29132	443
985	29169	414
986	29200	384
987	29233	355
988	29278	325
989	29302	295
990	29341	266
991	29372	236
992	29396	207
993	29431	177
994	29470	148
995	29497	118
996	29530	88
997	29561	59
998	29585	29
999	29607	0
